문서ID,도메인,제목,제안등급(목표),룰판정,LLM판정,S,V,M,곱,근거요약(LLM),검수자_확정등급,검수자_사유,검수자명
G50-TS-03,security,암호 키 관리 보고서,TS(특급기밀),TS,S1,2,2,1,4,"암호 키 관리 방식, 알고리즘 구체 사항, 보안 시스템 구현 계획 등이 경제적 가치가 높고, 외부 공개 시 보안 취약점 유출 위험으로 비밀관리성이 높아 TS 등급",,,
G50-TS-04,ai,AI 핵심 모델 사전학습 데이터셋 구축 및 보안 관리 프로토콜,TS(특급기밀),S3,TS,2,2,2,8,"차세대 AI 모델 개발에 대한 고비용·고노력 투입(2), 엄격한 암호화 및 접근 제한(2), 외부 공개 금지 및 정부 인증 준비(2)로 TS 등급",,,
G50-TS-05,bio,신약 후보물질 'X-2023'의 분자 구조 최적화 및 임상 1상 시험 준비 계획,TS(특급기밀),S3,TS,2,2,2,8,"항암제 후보물질의 분자 구조, 합성 경로, 임상 시험 설계서 등 고유한 정보로 비공지성(S=2), 경제적 가치(V=2), 엄격한 암호화 및 접근 제한 등 강력한 ",,,
G50-TS-07,defense,국방용 고성능 전자전투 시스템 개발 프로젝트 기술 명세서,TS(특급기밀),S1,TS,2,2,2,8,"국방 관련 핵심 기술 사양 및 보안 운영 정보로, 엄격한 접근 제어와 실시간 감시를 통해 비공개 상태이며, 고비용·고노력 투입된 기술의 유출 위험성이 매우 높아 ",,,
G50-TS-08,ma,2024년 제3자 회사 인수합병 실사 보고서 (비공개),TS(특급기밀),S2,S3,0,0,0,0,"실사 보고서는 외부 공유가 엄격히 금지되며, 핵심 기술 특허와 재무 정보 등 고가치 정보를 포함하나, 보유자 내부에서만 공유됨.",,,
G50-TS-11,bio,신약 후보물질 [X-2023-001] 임상 3상 연구 프로토콜,TS(특급기밀),S1,TS,2,2,2,8,"임상 3상 시험 계획 및 핵심 데이터(생존율, 유전자 돌연변이 비율 등)는 경제적 가치가 높고, AES-256 암호화 및 제한된 접근 권한으로 강력한 비밀관리가 ",,,
G50-S1-00,finance,2024년 제4분기 자금조달 및 유동성 관리 전략 보고서,S1(1급비밀),S3,TS,2,2,2,8,"자금 조달 계획, 유동성 관리 전략 등 경영 전략 정보로 경제적 가치가 높고, 외부 공유 금지 및 승인자에 한해 공개하는 비밀관리성으로 TS 등급",,,
G50-S1-01,tech,2024년 Q3 AI 챗봇 플랫폼 최적화 프로젝트 기술 검토 보고서,S1(1급비밀),S1,TS,2,2,2,8,"문서는 특허 출원 중인 기술, 고객사별 비용 구조, 출시 예정 서비스의 가격 전략 등 고유한 경제적 가치와 강한 비밀관리를 보여주며, 외부 공개 시 유출 위험이 ",,,
G50-S1-02,ai,강화학습 기반 대화형 AI 모델 보상 설계 기준서,S1(1급비밀),S3,TS,2,2,2,8,비공지성(S=2)은 개발 중인 AI 모델의 보상 설계 기준으로 외부에 공개되지 않음. 경제적 유용성(V=2)은 고객 맞춤형 모델 배포 및 고비용 개발 노력을 반영,,,
G50-S1-03,bio,신약 후보물질 [X-2023-01] 임상시험 프로토콜 (임상 단계 1b),S1(1급비밀),TS,TS,2,2,2,8,"임상시험 프로토콜은 약물 개발의 핵심 정보로, 경제적 가치가 높고 엄격한 비밀관리가 적용되어 비공지성과 경제적 유용성, 비밀관리성 모두 최고 수준을 충족함.",,,
G50-S1-04,hr,2024년도 임원급 인력 보상 체계 및 승진 기준 안내,S1(1급비밀),S1,TS,2,2,2,8,"문서는 임원급 보상 체계와 성과 평가 기준 등 경영 전략에 직접적인 영향을 미치는 핵심 정보로, 외부 유출 시 경쟁사 분석 및 영업 전략 무력화 등 심각한 피해가",,,
G50-S1-05,finance,2024년도 제3사분기 자금조달 전략 및 실행 계획,S1(1급비밀),S1,TS,2,2,2,8,"자금 조달 전략은 내부 재무 데이터와 미공개 마케팅 전략을 기반으로 하며, 엄격한 비밀 유지 조건과 제한된 접근 권한으로 인해 비공지성(S=2)과 비밀관리성(M=",,,
G50-S1-06,tech,AI 기반 고객 분석 알고리즘 설계 문서,S1(1급비밀),S1,TS,2,2,2,8,"문서는 AI 핵심 알고리즘 설계, 고객 데이터 처리 흐름, 시스템 통합 방식 등 경쟁사 분석에 유리한 고유한 정보를 포함하며, 암호화 및 프라이버시 보호팀 감독 ",,,
G50-S1-07,ai,강화학습 기반 대화형 AI 모델의 보상 함수 최적화 설계,S1(1급비밀),TS,TS,2,2,2,8,"문서는 핵심 알고리즘 특허 전략과 연계된 기술 사양, 고객 데이터 연계 및 법적 분쟁 유발 가능성 있는 비공개 데이터를 포함하며, 엄격한 접근 제어가 적용되어 경",,,
