문서ID,도메인,제목,제안등급(목표),룰,LLM,S,V,M,곱,근거요약,검수자_확정등급,검수자_사유,검수자명
G500-TS-001,defense,차세대 이동형 육상 방어 시스템 개발 계획 (프로젝트 알파-23),TS(특급기밀),S3,TS,2,2,2,8,"문서는 차세대 방어 시스템의 핵심 기술 명세와 보안 운영 방침을 포함하며, 고도로 제한된 접근 권한과 엄격한 보안 조치가 적용되어 있어 특급기밀 수준에 해당함.",,,
G500-TS-002,ma,비공개 인수 대상 기업 [가상기업A]에 대한 실사 보고서,TS(특급기밀),S2,TS,2,2,2,8,"문서는 인수 협상의 핵심 전략, 재무/법적 리스크, 기술 유출 방지 조건 등 고유한 경영 정보를 포함하며, 외부 공개 금지와 C-level 제한 접근이 명시되어 ",,,
G500-TS-005,bio,신약 후보물질 [X-2023-007B] 임상 1상 시험 프로토콜,TS(특급기밀),S3,TS,2,2,2,8,"임상시험 프로토콜은 공개되지 않은 정보로, 고유한 화합물 구조와 강력한 보안 관리로 인해 경제적 가치가 높고, 접근 제어가 엄격하여 TS 등급에 해당함.",,,
G500-TS-007,defense,국방 첨단 무기체계 개발 기술 명세서,TS(특급기밀),S3,TS,2,2,2,8,"국방 관련 고도 기술 정보로 비공개성과 경제적 가치가 매우 높고, 엄격한 보안 관리 체계가 적용되어 있다.",,,
G500-TS-009,security,암호 키 관리 보고서 (2023년 4분기),TS(특급기밀),TS,S1,1,2,2,4,"암호 키 관리 시스템은 기업의 핵심 보안 정보로, 외부 유출 시 기술 유출과 보안 침해 위험이 크며, 경제적 가치가 높고 엄격한 비밀관리가 적용되어 있다.",,,
G500-TS-011,bio,신약 후보물질 [X-2023-07]의 합성 경로 및 임상 전략 기획서,TS(특급기밀),S3,TS,2,2,2,8,"문서는 신규 항암제 합성 경로, 임상 전략, 특허 범위 등 고비용·고노력 투입 정보를 암호화 서버에 엄격히 관리하며, 외부 유출 시 경쟁사 모방 및 협상 파기 위",,,
G500-TS-014,ma,가상기업A와 [가상기업B] 간 전략적 합병 의향서,TS(특급기밀),S3,TS,2,2,2,8,"문서는 합병 협의의 핵심 내용을 담고 있으며, 외부 공유 금지 및 엄격한 내부 관리 절차가 적용되어 비공지성(S=2)과 비밀관리성(M=2)이 높고, 1.2조 원 ",,,
G500-TS-015,security,2023년도 암호 키 관리 보고서,TS(특급기밀),TS,S1,2,2,1,4,"문서는 기업의 암호 키 관리 현황, 보안 취약점, 접근 권한 문제 등 민감한 정보를 포함하며, 이는 경제적 가치가 높고 비밀관리가 부분적으로 이루어져 있어 S1에",,,
G500-TS-017,bio,신약 후보물질 [XYZ-2023] 임상 2상 시험 프로토콜 (2024년 1분기 제안),TS(특급기밀),S1,TS,2,2,2,8,"임상 2상 시험 설계안 및 특수한 제조 기술, 보안 인프라 등이 경쟁력과 국가 안보에 직결된 고도의 비공지성과 경제적 가치를 가지며, 엄격한 비밀관리가 적용됨.",,,
G500-TS-019,defense,국가핵심기술 보호 계획서,TS(특급기밀),S1,TS,2,2,2,8,"첨단 방위기기 개발 계획에 대한 고도로 기밀 유지된 기술 사양과 엄격한 보안 관리 절차가 적용되어 있으며, 상당한 경제적 가치와 비밀관리성이 높음",,,
G500-TS-020,ma,[가상기업A]와 [가상기업B] 간 합병 실사 보고서 (2023년 12월 15일 기준),TS(특급기밀),TS,S2,1,2,1,2,"문서는 재무, 법적 준수, IT 인프라 등 내부 평가 내용을 포함하며, 외부 공개 시 경쟁력 저하 및 법적 리스크가 발생할 수 있어 비공지성(S=1), 경제적 유",,,
G500-TS-022,ai,2024년도 핵심 알고리즘 특허 전략 및 보호 방안,TS(특급기밀),S1,TS,2,2,2,8,"문서는 특허 출원 전략과 암호화된 핵심 기술 정보를 포함하며, 최고 임원만 접근 가능한 엄격한 보안 조치와 AES-256 암호화를 적용한 상태로, 경제적 가치와 ",,,
G500-TS-023,bio,신약 후보물질 [X-235] 임상 3상 프로토콜 및 보안 운영 절차,TS(특급기밀),S3,TS,2,2,2,8,"임상 3상 데이터, 암호화 및 블록체인 보안 기술, 특허 출원 계획 등 고도의 비밀관리와 경제적 가치를 갖는 정보로 TS 등급에 해당",,,
G500-TS-026,ma,비공개 인수합병 실사 보고서 (2023년 3월 기준),TS(특급기밀),S2,TS,2,2,2,8,"문서는 합병 실사의 핵심 재무 정보, 특허 기술, 보안 취약점 등 고유한 경제적 가치와 엄격한 비밀관리 체계를 갖추고 있어 TS 등급에 해당함.",,,
G500-TS-031,defense,신형 탄성 항공기 시스템 설계 검토 보고서,TS(특급기밀),TS,S1,1,2,2,4,"문서는 국방 관련 고급 기술과 엄격한 보안 조치를 적용한 정보로, 비공개 상태이며 경제적 가치가 높고 강력한 비밀 관리가 이루어져 있어 S1 등급에 해당한다.",,,
G500-TS-032,ma,비공개 합병 의향서,TS(특급기밀),S2,TS,2,2,2,8,"문서는 합병 협의 내용, 핵심 자산 가치, 기술 보안 조건 등 고유한 경제적 가치와 엄격한 비밀관리 조치가 적용된 정보로, 비공지성과 경제적 유용성이 모두 최고 ",,,
G500-TS-033,security,암호 키 관리 보고서 (2023년 4분기),TS(특급기밀),TS,S2,1,2,1,2,"문서는 핵심 인프라의 암호화 키 관리 방식, 보안 정책 이행 현황, 비정상 접근 시도 등 운영 세부사항을 포함하며, 이는 경제적 가치가 높고 비밀관리가 부분적으로",,,
G500-TS-035,bio,신약 후보물질 X-237의 합성 경로 및 임상 1상 시험 계획,TS(특급기밀),S3,TS,2,2,2,8,"핵심 항암제 연구 자료로 경제적 가치가 높고, AES-256 암호화 및 제한된 접근 권한으로 엄격한 비밀관리가 이루어짐.",,,
G500-TS-037,defense,차세대 정밀 타격 무기체계 설계 검토 및 보안 운영 계획,TS(특급기밀),S1,TS,2,2,2,8,"문서는 고성능 무기체계의 핵심 기술 사양과 보안 운영 절차, 독자 개발 특허 출원 내역 등이 포함되어 있으며, 엄격한 접근 제어와 암호화 조치가 적용되어 있어 비",,,
G500-TS-038,ma,비공개 인수합병 실사 보고서,TS(특급기밀),S3,TS,2,2,2,8,"문서는 경쟁사 진출 방해를 위한 전략적 인수 계획 및 고액 투자 프로젝트 관련 정보로, 외부 공유가 엄격히 금지된 상태에서 보유되어 비공지성과 경제적 가치, 비밀",,,
G500-TS-039,security,2023년도 암호 키 관리 및 보안 운영 현황 보고서,TS(특급기밀),TS,S1,2,2,1,4,"암호 키 관리 체계 및 보안 사고 상세 정보는 외부 공개 시 보안 취약점 노출로 직접적 경제적 피해 발생 가능, 경제적 가치 높고 내부 인력에 한해 공유 관리 중",,,
G500-TS-040,ai,AI 핵심 알고리즘 특허 전략 수립안,TS(특급기밀),S2,TS,2,2,2,8,"문서는 차세대 AI 플랫폼의 핵심 알고리즘과 특허 전략을 포함하며, 엄격한 보안 관리와 고비용 개발 노력을 반영하여 TS 등급에 해당합니다.",,,
G500-TS-041,bio,신약 후보물질 [X-17A]의 분자 구조 및 생물학적 활성 분석 보고서,TS(특급기밀),S1,TS,2,2,2,8,"신규 항암제 후보물질의 독특한 화학 구조, 임상시험 결과, 합성 경로 등이 경제적 가치가 높고, 엄격한 암호화 및 접근 제한 관리로 비공지성과 비밀관리성이 높아 ",,,
G500-TS-046,ai,AI 핵심 알고리즘 특허 전략 및 보안 운영 가이드라인,TS(특급기밀),S1,TS,2,2,2,8,"핵심 알고리즘과 고액 M&A 관련 기술 정보로 비공개 기간이 길고, 엄격한 암호화 및 접근 제어로 비밀관리성이 높아 TS 등급",,,
G500-TS-047,bio,신약 후보물질 X-2023A 임상 시험 프로토콜,TS(특급기밀),S3,TS,2,2,2,8,"임상시험 설계 및 특허 기술 등 고유한 정보로 비공지성과 경제적 가치가 높고, AES-256 암호화 및 엄격한 접근 제어로 비밀관리성이 우수함.",,,
G500-TS-049,defense,고급 방어 무기체계 X-2000 설계 검토 및 보안 평가 보고서,TS(특급기밀),S3,TS,2,2,2,8,"문서는 차세대 방어 무기체계의 핵심 설계 및 보안 취약점 정보를 포함하며, 외부 유출 시 경쟁사 기술 반복 개발 위험과 고액 개발 비용을 고려할 때 비공지성과 경",,,
G500-TS-050,ma,비공개 인수합병 실사 보고서 (가상기업A),TS(특급기밀),TS,S1,1,2,2,4,"문서는 인수합병 관련 핵심 재무·법무 정보와 특허 리스크, 보안 문제를 포함하며, 외부 공유가 엄격히 제한되고 암호화 저장소에만 보관되어 경제적 가치와 비밀관리성",,,
G500-TS-051,security,암호 키 관리 및 보안 인프라 취약점 대응 방안,TS(특급기밀),TS,S1,1,2,2,4,"문서는 내부 보안 취약점, 재정적 손실, 시스템 중단 사례 등 고유한 경제적 가치와 비밀관리를 통해 보호되는 정보를 포함하며, 경제적 유용성과 비밀관리성 모두 높",,,
G500-TS-055,defense,방위산업 기술 명세서: [가상기업A] 고도화된 방어 시스템 개발 계획,TS(특급기밀),S3,TS,2,2,2,8,"문서는 차세대 방어 시스템의 핵심 기술 사양을 담고 있으며, 암호화 및 엄격한 접근 제어가 적용되어 비공지성(S=2)과 비밀관리성(M=2)이 높고, 국가 방산 전",,,
G500-TS-056,ma,가상기업A와 가상기업B 간 합병 협상에 관한 비공개 실사 보고서,TS(특급기밀),S3,S1,2,2,1,4,"문서는 합병 협상, 재무 분석, 기술 평가 등 고유한 정보를 포함하며, 외부에 공개되지 않았으나 내부 협의자에게 공유됨.",,,
G500-TS-062,ma,비공개 합병 의향서 [가상기업A-2023MA-001],TS(특급기밀),S3,TS,2,2,2,8,"문서는 아직 외부에 공개되지 않은 핵심 인수 협상 내용(76% 지분 인수, 5,800억 원 규모, 반도체 IP 및 AI 플랫폼 등)을 포함하며, 엄격한 비밀유지 ",,,
G500-TS-063,security,2024년도 보안 인증서 관리 대장,TS(특급기밀),TS,S2,1,1,2,2,"인증서 관리 절차 및 보안 강화 계획은 외부 공개 시 유출 위험 있으나, 통상적 방법으론 입수 곤란하며, 경제적 가치는 보안 인프라 유지에 기여하나 상당한 비용·",,,
